"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.154128417E0,6.685887641E0,-2.030720454E-1,-1.553923580E0,6.867096205E0
2.164069417E0,5.652508634E0,1.595046170E0,5.735687323E-1,5.901186934E0
2.174011417E0,5.298584272E0,1.007551271E0,1.216354172E0,5.528984746E0
2.183953417E0,3.868914902E0,-2.046221423E-1,1.528945298E0,4.165098614E0
2.193894417E0,2.044602329E0,-8.828319150E-1,2.348068582E0,3.236234995E0
2.203836417E0,3.877639532E-1,-1.294308082E0,1.696148476E0,2.168528060E0
2.213778417E0,-1.559569359E0,-2.132705251E0,-8.465341544E-1,2.774402341E0
2.223719417E0,-3.455167091E0,-2.984354550E0,-2.154489638E0,5.048403441E0
2.233661417E0,-3.914349521E0,-1.560713659E0,-1.493343794E-1,4.216664565E0
2.243603417E0,-4.463500135E0,-1.898433048E-1,1.985095800E0,4.888709367E0
2.253544417E0,-4.482368515E0,-9.176550078E-1,2.680606899E0,5.302770179E0
2.263486417E0,-2.453475900E0,-6.320401579E-1,1.927090251E0,3.183189531E0
2.273428417E0,-1.219330990E0,2.298780794E0,1.375558652E0,2.943352307E0
2.283369417E0,-1.218466771E0,3.554339962E0,3.664292175E-1,3.775217108E0
2.293311417E0,-9.238331759E-1,3.293971635E0,7.116887368E-2,3.421809737E0
2.303253417E0,-7.395458955E-1,3.200554764E0,3.209969366E-1,3.300532981E0
2.313194417E0,-6.287686408E-2,2.788824828E0,1.401951814E-1,2.793054262E0
2.323136417E0,8.268781543E-1,2.500944182E0,1.199717090E-2,2.634120957E0
2.333078417E0,1.645584825E0,2.229557946E0,6.186880410E-2,2.771769435E0
2.343019417E0,2.210518827E0,1.636480125E0,2.283454657E-2,2.750451254E0
2.352961417E0,2.089870888E0,1.361481480E0,1.655171335E-1,2.499717598E0
2.362903417E0,1.421631203E0,1.816312997E0,4.806849808E-3,2.306523636E0
2.372844417E0,8.539519322E-1,2.070629455E0,-2.545912778E-1,2.254230903E0
2.382786417E0,8.009673876E-1,2.073909743E0,-2.316177137E-1,2.235239841E0
2.392728417E0,5.584482712E-1,7.677803457E-1,-1.947429791E-1,9.691625038E-1
2.402670417E0,-5.060507870E-1,-4.927688366E-1,-5.717044938E-1,9.087103793E-1
2.412611417E0,2.836957937E-1,1.165122038E-1,-1.610186512E0,1.639133613E0
2.422553417E0,1.160493090E0,1.770212379E0,-2.534326813E0,3.302000677E0
2.432495417E0,1.320575236E0,2.590046393E0,-3.290344607E0,4.390743320E0
2.442436417E0,4.900247383E-1,2.906846198E0,-3.255834633E0,4.392076755E0
2.452378417E0,-5.691893139E-1,2.888882967E0,-2.439748538E0,3.823871624E0
2.462320417E0,-3.847874281E-1,3.328250937E0,-2.314631133E0,4.072202469E0
2.472261417E0,3.896230754E-1,4.655902181E0,-2.753981270E0,5.423434714E0
2.482203417E0,1.221235282E0,5.698439097E0,-3.004490021E0,6.556720525E0
2.492145417E0,1.527881835E0,6.084795041E0,-2.653549494E0,6.811789670E0
2.502086417E0,1.210944182E0,5.842167166E0,-2.805916239E0,6.593213856E0
2.512028417E0,1.008347077E0,6.149267026E0,-2.913734803E0,6.878960625E0
2.521970125E0,1.032366635E0,5.622246369E0,-2.650040579E0,6.300646806E0
2.531911125E0,1.104304856E0,6.598548365E0,-1.246871375E0,6.805513792E0
2.541853125E0,1.004604566E0,7.180822871E0,-2.721562406E-1,7.255860835E0
2.551795125E0,9.402734998E-1,7.212108398E0,-1.521433087E-1,7.274735005E0
2.561736125E0,4.749453539E-1,7.080099319E0,-2.691520143E-1,7.101114156E0
2.571678125E0,6.845934704E-2,6.755270117E0,4.465730555E-1,6.770361034E0
2.581620125E0,6.818764155E-1,5.125728298E0,6.253329630E-1,5.208559047E0
2.591561125E0,1.973204025E0,-5.680417979E-1,1.418977152E0,2.495937052E0
2.601503125E0,4.191322187E-1,-1.917025439E1,5.031833124E0,1.982406794E1
2.611445125E0,-1.603153335E0,-5.308973371E1,4.066114004E0,5.326934586E1
2.621386125E0,1.299863755E1,-5.096217050E1,-1.273333535E1,5.411326297E1
2.631328125E0,1.233175091E1,-2.895321570E1,-1.345419997E1,3.422537475E1
2.641270125E0,3.140072334E0,-9.195889159E0,-4.381155551E0,1.065921928E1
2.651211125E0,4.793298885E-2,3.351943270E0,-1.607094358E0,3.717603197E0
2.661153125E0,-4.133937612E-1,7.029561249E0,3.378299010E-1,7.049805302E0
2.671095125E0,1.029066101E-2,7.181911622E0,1.339370234E0,7.305742472E0
2.681036125E0,9.155067408E-1,5.900647509E0,2.159656237E0,6.349795956E0
2.690978125E0,1.721550681E0,3.396975601E0,3.074579426E0,4.894509029E0
2.700920125E0,1.574223943E0,9.372010803E-1,3.926022903E0,4.332456892E0
2.710861125E0,1.125055820E0,-5.865172452E-1,4.097881926E0,4.289800620E0
2.720803125E0,5.163107501E-1,-1.211243121E0,3.486789418E0,3.727115123E0
2.730745125E0,-1.004941951E-1,-1.150054933E0,2.227457188E0,2.508842553E0
2.740686125E0,-3.171252027E-1,-7.439786696E-1,7.803401649E-1,1.123834253E0
2.750628125E0,2.787678335E-1,-7.212306619E-2,-5.791876873E-1,6.468165263E-1
2.760570125E0,7.123993197E-1,4.645835030E-1,-1.082368734E0,1.376543751E0
2.770511125E0,4.789334473E-1,1.070079056E0,-1.091903204E0,1.602092082E0
2.780453125E0,1.687665043E-1,1.266944867E0,-1.097657960E0,1.684780231E0
2.790395125E0,-3.454220720E-2,9.872205019E-1,-1.077388002E0,1.461698461E0
2.800336125E0,-2.056257438E-1,5.908383375E-1,-1.029818564E0,1.204947369E0
2.810278125E0,-3.079340375E-1,2.412052470E-1,-8.940321835E-1,9.758570017E-1
2.820220125E0,-3.079608616E-1,9.349522412E-2,-7.131217432E-1,7.823834545E-1
2.830162125E0,-2.176096123E-1,-7.968643963E-2,-5.594640787E-1,6.055608370E-1
2.840103125E0,-1.013386792E-1,-3.253788400E-1,-2.957229316E-1,4.512127765E-1
2.850045125E0,-9.967134565E-2,-4.697770000E-1,8.223009539E-1,9.522623932E-1
2.859987125E0,-1.294862983E-1,-6.682601506E-1,2.193330352E0,2.296527022E0
2.869928125E0,-1.044409195E-1,-7.057875806E-1,2.389710259E0,2.493944494E0
2.879870125E0,-9.230524264E-2,-5.811436540E-1,1.782397392E0,1.877015894E0
2.889812125E0,-9.069301911E-2,-3.600072205E-1,9.600345305E-1,1.029318572E0
2.899753125E0,-1.670686921E-1,7.216867447E-2,2.169878340E-1,2.832030818E-1
2.909695125E0,-1.086313266E-1,2.636948079E-1,-3.815366685E-1,4.763464561E-1
2.919637125E0,-1.525363147E-2,2.031065440E-1,-6.788418567E-1,7.087391678E-1
2.929578125E0,3.393924963E-2,1.077425498E-1,-6.745089968E-1,6.839025636E-1
2.939520125E0,9.801278293E-2,1.209479016E-1,-5.232439399E-1,5.459112759E-1
2.949462125E0,2.692508322E-1,7.158044457E-2,-2.228654552E-1,3.567755342E-1
2.959403125E0,3.625472144E-1,1.761175507E-1,1.069398002E-1,4.170059894E-1
2.969345125E0,4.172564319E-1,3.234130061E-1,4.036134160E-1,6.645319345E-1
2.979287125E0,5.513208076E-1,4.586029708E-1,4.982318902E-1,8.732160868E-1
2.989228125E0,4.747594855E-1,2.921304023E-1,5.111319443E-1,7.563019275E-1
2.999170125E0,2.535156825E-1,2.285255599E-1,4.400088251E-1,5.568679367E-1
3.009112125E0,2.428971023E-1,4.225607336E-1,3.239252952E-1,5.852214733E-1
3.019053125E0,-5.787223220E-2,3.399278820E-1,1.435526526E-1,3.735070605E-1
3.028995125E0,-1.876207781E-1,1.352104300E-1,-9.782274842E-2,2.511029806E-1
3.038937125E0,-2.378801548E-1,-2.837677145E-1,-1.918928269E-1,4.170538824E-1
3.048878125E0,-5.832085982E-1,-4.673878276E-1,4.671340585E-2,7.488429693E-1
3.058820125E0,-7.216852098E-1,-4.950398952E-1,3.348676284E-1,9.370327467E-1
3.068762125E0,-5.677640917E-1,-3.399074167E-1,5.154566912E-1,8.388019529E-1
3.078703125E0,-3.151688340E-1,-2.755120307E-1,5.756305336E-1,7.117505070E-1
3.088645125E0,-1.002599045E-1,-1.262869942E-1,5.836457507E-1,6.055103761E-1
3.098587125E0,-8.924517542E-2,9.513946116E-2,6.517201316E-1,6.646467847E-1
3.108528125E0,-1.291966053E-1,1.930990344E-1,4.937798933E-1,5.457083314E-1
3.118470125E0,-1.699147878E-1,1.952116334E-1,1.922739192E-1,3.224094865E-1
