"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.493448708E0,3.606878072E0,5.652822044E0,-1.832446049E0,6.951390150E0
1.503389708E0,3.518106228E0,5.898962342E0,-1.869164810E0,7.118188339E0
1.513331708E0,2.921506045E0,6.295329303E0,-1.906431454E0,7.197280701E0
1.523272708E0,2.216445711E0,6.537019284E0,-2.094207183E0,7.213248675E0
1.533214708E0,1.831426295E0,6.305811022E0,-2.450930607E0,7.008882633E0
1.543155708E0,1.498450460E0,6.236169514E0,-2.264247723E0,6.801616112E0
1.553097708E0,1.027115762E0,6.093656496E0,-1.655120756E0,6.397424560E0
1.563038708E0,3.626668265E-1,5.654215436E0,-9.687829153E-1,5.748062261E0
1.572980708E0,-1.229613903E-1,5.327259017E0,-5.540330386E-1,5.357402425E0
1.582921708E0,4.184221474E-1,3.761240180E0,-1.637889889E-1,3.787985166E0
1.592863708E0,9.403859417E0,-1.227452655E1,-3.196214083E0,1.578962819E1
1.602805708E0,1.942040529E1,-3.450226545E1,-3.155211653E0,3.971792824E1
1.612746708E0,8.332836621E0,-5.078074777E1,-4.506307601E0,5.165682257E1
1.622688708E0,4.684495651E0,-3.744646717E1,-1.207515053E1,3.962312031E1
1.632629708E0,5.567148056E0,-1.638813632E1,-9.520148842E0,1.975341448E1
1.642571708E0,2.067080196E0,-2.844027806E0,-1.079080728E1,1.134913373E1
1.652512708E0,2.902528614E-1,5.517447892E0,-5.306469827E0,7.660620079E0
1.662454708E0,7.592833181E-1,6.840456448E0,-1.450062704E-1,6.883994653E0
1.672395708E0,1.049748872E0,6.349827692E0,9.373290174E0,1.137017384E1
1.682337708E0,1.903344855E0,3.079970559E0,2.039548581E1,2.071436172E1
1.692278708E0,2.266211071E0,8.374674618E-2,1.168911268E1,1.190706015E1
1.702220708E0,1.108648752E0,-6.675017667E-1,4.426485213E0,4.611771027E0
1.712162708E0,1.427956282E0,-1.423706380E0,1.643762101E0,2.601528944E0
1.722103708E0,1.963247679E0,-1.836140905E0,5.232464249E-1,2.738529111E0
1.732045708E0,2.437772033E0,-1.149626917E0,3.184627533E-2,2.695438502E0
1.741987208E0,1.537461036E0,5.798695457E-1,1.811898641E-1,1.653137894E0
1.751929208E0,1.221392864E0,9.888255626E-1,-1.053736965E-1,1.575017504E0
1.761870208E0,6.220624691E-1,1.450449205E0,-4.451089127E-1,1.639782472E0
1.771812208E0,3.798237267E-1,1.311657940E0,-5.624458663E-1,1.476840536E0
1.781753208E0,1.841595188E-1,6.903713965E-1,-7.540792961E-1,1.038827694E0
1.791695208E0,-5.485243767E-2,3.521777987E-3,-9.507911789E-1,9.523786321E-1
1.801637208E0,-1.360483360E-1,-2.990125751E-1,-1.256248555E0,1.298490702E0
1.811578208E0,-2.738626774E-1,-3.529069465E-1,-1.917762773E0,1.969100844E0
1.821520208E0,-6.168140084E-1,-1.410225624E-1,-2.274432257E0,2.360802612E0
1.831461208E0,-7.111214107E-1,4.199353337E-2,-2.091096611E0,2.209104378E0
1.841403208E0,-6.418453538E-1,1.374668705E-1,-1.530029225E0,1.664887993E0
1.851344208E0,-6.472815102E-1,1.613691187E-1,-1.007737066E0,1.208531067E0
1.861286208E0,-6.374105331E-1,1.712707937E-1,-6.190682562E-1,9.049151222E-1
1.871227208E0,-7.089841072E-1,1.028700650E-1,-3.811054364E-1,8.114690803E-1
1.881169208E0,-6.060919690E-1,-9.647847354E-2,-2.867885323E-1,6.774239684E-1
1.891110208E0,-4.667738700E-1,-2.867667514E-1,-2.063308449E-1,5.853934002E-1
1.901052208E0,-3.951004547E-1,-3.150625974E-1,-1.608512016E-1,5.303224666E-1
1.910994208E0,-3.494062185E-1,-2.488686079E-1,-9.330299690E-2,4.390053972E-1
1.920935208E0,-2.427439418E-1,-1.955460942E-1,3.030714199E-2,3.131795317E-1
1.930877208E0,-1.092306662E-1,-1.114023221E-1,1.946678424E-1,2.494742164E-1
1.940818208E0,-1.267574027E-2,4.914233923E-2,3.178521578E-1,3.218782971E-1
1.950760208E0,2.117189080E-2,1.362196594E-1,4.709895663E-1,4.907496471E-1
1.960701208E0,6.595659256E-2,2.051787972E-1,6.715549104E-1,7.052904427E-1
1.970643208E0,1.622276361E-1,2.158429492E-1,9.263523026E-1,9.649013282E-1
1.980584208E0,1.761616972E-1,1.840194780E-1,1.316732154E0,1.341148641E0
1.990526208E0,1.527592398E-1,1.634197372E-1,1.928760362E0,1.941689453E0
2.000467208E0,8.679577678E-2,1.014497763E-1,2.370996830E0,2.374752942E0
2.010409208E0,-1.850161359E-2,2.157271743E-2,2.312328061E0,2.312502704E0
2.020351208E0,-1.119233090E-1,-2.699542522E-2,1.825903015E0,1.829529284E0
2.030292208E0,-2.063223664E-1,-3.253390789E-2,1.192649414E0,1.210801387E0
2.040234208E0,-2.744031063E-1,-1.005212384E-1,6.909432542E-1,7.502027490E-1
2.050175208E0,-3.711142990E-1,-1.927768528E-1,3.667256713E-1,5.562161953E-1
2.060117208E0,-4.765587468E-1,-2.100793487E-1,1.630156946E-1,5.457249203E-1
2.070058208E0,-5.501577964E-1,-1.769098485E-1,3.739996076E-2,5.791109156E-1
2.080000208E0,-6.065802115E-1,-1.667953348E-1,-5.459662199E-2,6.314594428E-1
2.089941208E0,-6.223090754E-1,-1.810426605E-1,-1.155281174E-1,6.583249777E-1
2.099883208E0,-6.149348594E-1,-1.820764482E-1,-1.718927912E-1,6.639607263E-1
2.109825208E0,-5.763316879E-1,-1.519743973E-1,-1.998765421E-1,6.286533735E-1
2.119766208E0,-5.198338437E-1,-8.975709915E-2,-2.101417677E-1,5.678407562E-1
2.129708208E0,-3.838470496E-1,-1.717795014E-2,-2.110726444E-1,4.383894395E-1
2.139649208E0,-2.215575792E-1,4.270163119E-2,-2.001864445E-1,3.016385300E-1
2.149591208E0,-1.051434624E-1,9.579142570E-2,-1.453480402E-1,2.033646914E-1
2.159532208E0,1.000400126E-2,1.227424121E-1,-6.507249355E-2,1.392846337E-1
2.169474208E0,1.262516186E-1,1.189838219E-1,3.773105934E-2,1.775394432E-1
2.179415208E0,2.438826871E-1,1.228926855E-1,1.218265919E-1,2.990369471E-1
2.189357208E0,2.976823336E-1,1.485572845E-1,2.194097507E-1,3.985281385E-1
