"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.768917417E0,4.726559350E0,1.902956454E0,1.593036775E0,5.338480376E0
1.778859417E0,-3.738765821E0,4.531865196E0,-3.061195734E-1,5.883016336E0
1.788800417E0,-1.015979681E1,8.286903234E0,-2.399236251E0,1.332856223E1
1.798742417E0,-1.085465419E-1,5.066124705E0,-7.044994390E-1,5.116025932E0
1.808684417E0,1.944825441E0,1.944528987E0,-6.182112005E-1,2.818816076E0
1.818626417E0,5.578308052E-1,1.818460094E0,-8.669033687E-1,2.090333412E0
1.828567417E0,4.375038779E0,3.319154423E-1,-2.272066619E0,4.940993716E0
1.838509417E0,5.750890961E0,-8.792923030E-1,-4.013439946E0,7.067786216E0
1.848451417E0,5.161141375E0,-1.821130225E0,-2.692516508E0,6.099470529E0
1.858392417E0,6.904136719E0,-2.680327402E0,2.477314706E-1,7.410305642E0
1.868334417E0,7.720198694E0,-2.384513547E0,1.792936267E0,8.276593090E0
1.878276417E0,7.256703358E0,-1.559521412E0,2.148395669E0,7.727059894E0
1.888217417E0,5.465804114E0,-1.855487880E0,1.496622767E0,5.963030236E0
1.898159417E0,3.072074479E0,-2.387320210E0,1.071077907E0,4.035362099E0
1.908101417E0,1.780740291E0,-2.188179540E0,3.354607554E-1,2.841073671E0
1.918043417E0,4.909409970E-1,-1.985612694E0,6.538928108E-1,2.147383674E0
1.927984417E0,3.492834270E-1,-1.093827815E0,5.300639860E-1,1.264684162E0
1.937926417E0,8.278248185E-1,-1.487096044E-1,6.779915254E-1,1.080315225E0
1.947868417E0,1.084952618E0,4.953647080E-1,3.437342732E-1,1.241233914E0
1.957809417E0,6.986294192E-1,9.174506477E-1,-5.710367417E-1,1.286810676E0
1.967751417E0,4.666504937E-1,1.144064753E0,-8.881006949E-1,1.521633887E0
1.977693417E0,-2.162259418E-1,5.850425774E-1,-1.657648215E0,1.771108715E0
1.987634417E0,-1.551452839E0,-1.214881259E0,-2.311175137E0,3.037181736E0
1.997576417E0,-1.621783733E0,-1.778592316E0,-1.543337342E0,2.859276702E0
2.007518417E0,-1.064703126E0,-1.567168693E0,-1.026149948E0,2.154667996E0
2.017459417E0,-7.241835058E-2,-1.493794030E0,-6.321973018E-1,1.623680526E0
2.027401417E0,1.012184020E0,-1.434945897E0,-5.089144608E-1,1.828272449E0
2.037343417E0,2.511967937E0,-4.766875318E-1,-4.527368979E-1,2.596571705E0
