"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.436803208E0,-3.550367218E-2,2.815785170E-2,-8.491852820E-2,9.625243780E-2
1.446745208E0,-3.111296140E-2,1.730863541E-2,-1.278821146E-1,1.327457738E-1
1.456687208E0,1.159360338E-2,2.143940091E-2,-1.104340231E-1,1.130917018E-1
1.466629208E0,4.279438265E-2,-5.236473978E-3,-6.903924465E-2,8.139531404E-2
1.476571208E0,5.113616668E-2,-2.493837476E-3,-1.909992993E-2,5.464370129E-2
1.486513208E0,1.038653342E-1,2.771550983E-2,3.705029726E-2,1.137052402E-1
1.496455208E0,8.431257393E-2,4.414150804E-2,3.258536339E-2,1.005926874E-1
1.506397208E0,3.172121800E-2,4.131320983E-2,-8.106579781E-3,5.271369475E-2
1.516339208E0,-1.947214175E-2,4.505104244E-2,-5.669928074E-2,7.499046050E-2
1.526281208E0,-4.663629569E-2,4.603366703E-2,-9.297540665E-2,1.137473904E-1
1.536223208E0,-8.000606306E-2,6.300140977E-2,-8.331288278E-2,1.315719734E-1
1.546165208E0,-6.167946395E-2,5.619817436E-2,-2.928987265E-2,8.843352143E-2
1.556107208E0,-2.851862490E-2,4.003150016E-2,5.051994324E-3,4.941007608E-2
1.566049208E0,2.022383787E-2,4.372547865E-3,2.938810587E-3,2.089878945E-2
1.575991208E0,5.046370033E-2,-4.289341986E-2,2.646449804E-3,6.628298586E-2
1.585933208E0,6.566035800E-2,-5.246531188E-2,-6.191616654E-3,8.427471555E-2
1.595875208E0,3.971845485E-2,-7.926982552E-2,-1.863390684E-2,9.060068089E-2
1.605816208E0,-2.236684240E-2,-6.040466130E-2,-1.020339131E-3,6.442080283E-2
1.615758208E0,-5.352957822E-2,-2.799734563E-2,1.969049871E-2,6.353725558E-2
1.625700208E0,-4.330418676E-2,1.081734896E-5,2.440803230E-2,4.970920185E-2
1.635642208E0,-2.091717146E-2,1.696832746E-2,1.258554697E-2,2.972958445E-2
1.645584208E0,4.309756078E-2,1.452214479E-2,2.336196542E-2,5.112801446E-2
1.655526208E0,7.467559509E-2,1.538753271E-2,1.642190516E-2,7.799294605E-2
1.665468208E0,9.377698682E-2,1.202246010E-2,-5.356049538E-4,9.454601883E-2
1.675410208E0,7.645355064E-2,1.287790775E-2,-3.143463135E-2,8.366075521E-2
1.685352208E0,3.741567515E-2,4.278700054E-3,-6.381007969E-2,7.409430674E-2
1.695294208E0,-1.334067833E-2,3.137031198E-3,-6.983095765E-2,7.116303331E-2
1.705236208E0,-7.457224555E-2,2.118797064E-2,-4.098547339E-2,8.769127058E-2
1.715178208E0,-1.119865320E-1,5.694954157E-2,-4.832022071E-2,1.346071223E-1
1.725120208E0,-1.214289813E-1,4.954901308E-2,-3.275785625E-2,1.351783242E-1
1.735062208E0,-7.661032911E-2,1.202304482E-2,-2.187501848E-2,8.057426740E-2
1.745004208E0,9.769601002E-3,-4.461425543E-4,2.168498397E-2,2.378828864E-2
1.754946208E0,6.677597020E-2,-1.867688388E-2,3.506341338E-2,7.770005885E-2
1.764888208E0,1.099707775E-1,-3.420241088E-2,1.574304342E-2,1.162377745E-1
1.774830208E0,1.173550799E-1,-3.347180128E-2,-1.041739941E-2,1.224789716E-1
1.784772958E0,8.250300687E-2,-3.011403769E-2,-3.684330583E-3,8.790435541E-2
1.794714958E0,3.009821367E-2,-6.157118082E-4,9.659600258E-3,3.161628448E-2
1.804656958E0,-3.088163093E-2,3.369224131E-2,1.956478357E-2,4.971542024E-2
1.814598958E0,-5.793216616E-2,3.793293446E-2,8.684869409E-3,6.978875518E-2
1.824540958E0,-6.116399534E-2,4.378190428E-2,-9.036287069E-3,7.575977793E-2
1.834482958E0,-3.851327062E-2,2.248049766E-2,-3.169424772E-2,5.470987230E-2
1.844424958E0,1.641167253E-2,3.365657330E-3,-6.392000735E-2,6.607902832E-2
1.854366958E0,6.969921257E-2,-3.029880971E-2,-8.588214934E-2,1.146810432E-1
1.864308958E0,9.461204231E-2,-3.713859022E-2,-6.332066774E-2,1.197506593E-1
1.874250958E0,8.659887180E-2,-1.565825880E-2,-1.681951582E-2,8.959599197E-2
1.884192958E0,5.166314699E-2,9.195038974E-3,-1.907361746E-3,5.250968984E-2
1.894134958E0,-2.073488452E-2,3.817910224E-2,2.936939478E-2,5.244178328E-2
1.904076958E0,-5.510580484E-2,6.263245046E-2,2.426886857E-2,8.688182525E-2
1.914018958E0,-6.456268944E-2,6.496256590E-2,-5.583506227E-3,9.175865832E-2
1.923960958E0,-4.609060429E-2,4.797318846E-2,-2.833736122E-2,7.231028043E-2
1.933902958E0,1.714878716E-2,1.305683255E-3,-5.347103298E-2,5.616882656E-2
1.943844958E0,5.991590716E-2,-3.662052691E-2,-5.798683763E-2,9.106839331E-2
1.953786958E0,5.906162895E-2,-4.320741534E-2,-3.636851192E-2,8.171796262E-2
1.963728958E0,2.381508809E-2,-3.255554259E-2,2.724802494E-3,4.042828617E-2
1.973670958E0,2.479950339E-4,-9.139198065E-3,4.273905337E-2,4.370598501E-2
1.983612958E0,-2.126796786E-2,1.461803913E-5,3.313909471E-2,3.937672242E-2
1.993554958E0,-1.447120093E-2,1.145937324E-2,3.732862473E-3,1.883260878E-2
2.003496958E0,-1.621655826E-2,2.246295601E-2,-6.593905091E-3,2.847877699E-2
2.013438958E0,1.793655328E-2,3.185913920E-2,-3.480321229E-2,5.047760176E-2
2.023380958E0,2.427566595E-2,2.963485837E-2,-6.837967873E-2,7.837929096E-2
2.033322958E0,1.611079674E-2,3.274206877E-2,-7.078229964E-2,7.963500977E-2
2.043264958E0,-1.828935966E-3,3.290666789E-2,-6.388550878E-2,7.188568724E-2
2.053206958E0,-4.448649377E-2,5.212295741E-2,-5.849203706E-2,9.009533404E-2
2.063148958E0,-1.017676456E-1,6.364489585E-2,-2.400632858E-2,1.224076397E-1
2.073090958E0,-1.040046806E-1,6.188196033E-2,1.154591203E-2,1.215716196E-1
2.083032958E0,-3.318163320E-2,3.486840874E-2,2.864843309E-2,5.601392174E-2
2.092974958E0,5.539334167E-2,-9.026054442E-3,3.460031390E-2,6.593234170E-2
2.102916958E0,1.327773670E-1,-5.819762975E-2,1.987468600E-2,1.463277023E-1
2.112858958E0,1.878157827E-1,-7.777410775E-2,-1.137751222E-2,2.036001667E-1
2.122800958E0,1.845048700E-1,-8.117894143E-2,-3.892199099E-2,2.052973184E-1
2.132742958E0,1.388446938E-1,-7.520337939E-2,-6.103323698E-2,1.692880778E-1
2.142684958E0,4.308984976E-2,-4.448415488E-2,-3.393431604E-2,7.061949443E-2
2.152626958E0,-4.603074342E-2,2.568681836E-2,-2.701647520E-2,5.923286174E-2
2.162568958E0,-1.007148178E-1,7.898126543E-2,1.204584897E-2,1.285558917E-1
